country_id;country_name;conflict_id;conflict_name;conflict_type_data_id;conflict_factor_data_id;conflict_intensity_data_id;conflict_subjects;conflict_history;conflict_regulation_practice;circle_coordinates;circle_custom_diameter;circle_conflict_type_data_id;circle_conflict_factors_data_id;circle_conflict_intensity_data_id
0;Аруба;;;;;;;;;;;;;
1;Афганистан;;;;;;;;;;;;;
2;Ангола;;;;;;;;;;;;;
3;Ангилья;;;;;;;;;;;;;
4;Албания;;;;;;;;;;;;;
5;Аландские острова;;;;;;;;;;;;;
6;Андорра;;;;;;;;;;;;;
7;Объединенные Арабские Эмираты;;;;;;;;;;;;;
8;Аргентина;;;;;;;;;;;;;
9;Армения;;;;;;;;;;;;;
10;Американское Самоа;;;;;;;;;;;;;
11;Антарктида;;;;;;;;;;;;;
13;Южные Французские Территории;;;;;;;;;;;;;
14;Антигуа и Барбуда;;;;;;;;;;;;;
15;Австралия;;;;;;;;;;;;;
16;Австрия;;;;;;;;;;;;;
17;Азербайджан;8;Нагорный Карабах;;;;Население Нагорного Карабаха и центральная власть Республики Армения / Центральная власть Азербайджанской Республики;В основе конфликта – противоречия армянской и азербайджанской общин, принявшие формы кровопролитных столкновений в 1905-1907 и 1918-1920 гг. Раздел провозглашенной в мае 1918 г. Закавказской демократической федеративной республики на три республики, Грузинскую, Армянскую и Азербайджанскую, прошел с учетом прежнего губернского деления Закавказья в рамках Российской империи. Нагорный Карабах отошел к Азербайджану. Армянское население Карабаха отказывалось подчиняться властям АДР и избрало собственное Народное правительство. Измененные позже границы НКАО стали отличаться от границ расселения этнических общин. К тому же образовался так наз. Лачинский коридор, отделивший территорию НКАО от Армении. В период перестройки и резкой активизации национальных движений в СССР в 1987-1988 гг. сформировались условия открытой межнациональной конфронтации. В 1991-1994 гг. она переросла в военные столкновения между Арменией и самопровозглашенной НКР, с одной стороны, и Азербайджаном, с другой. Бишкекский протокол о перемирии и прекращении огня между конфликтующими сторонами (1994 г.) заложил основы для деэскалации конфликта. С 1992 г. работает Минская группа ОБСЕ, ориентированная на поиск путей мирного урегулирования Карабахского конфликта. В 2007 г. была выработана предварительная версия принципов урегулирования конфликта («Мадридские принципы»). В 2008 г. при посредничестве президента РФ Д.Медведева по итогам встречи президентов Армении и Азербайджана сторонами конфликта была подписана Майендорфская декларация, которая была вскоре фактически денонсирована президентом Азербайджана. Последнее существенное обострение конфликта произошло в начале апреля 2016 г. и было урегулировано благодаря активному военно-дипломатическому вмешательству России.;Деятельность Минской группы ОБСЕ, Мадридские принципы, Майендорфская декларация. Военно-дипломатические усилия стран-сопредседателей Минской группы ОБСЕ. И для Армении, и для Азербайджана Карабах стал ключевым ориентиром политики идентичности и мобилизации общественного мнения.;39.88, 46.85;;103;201, 203;305
18;Бурунди;;;;;;;;;;;;;
19;Бельгия;;;;;;;;;;;;;
20;Бенин;;;;;;;;;;;;;
21;Буркина-Фасо;;;;;;;;;;;;;
22;Бангладеш;;;;;;;;;;;;;
23;Болгария;18;Болгария;;;;Болгарское большинство / Турецкое и цыганское меньшинства;С 1920-х гг. руководство Болгарии периодически предпринимало попытки институционального взаимодействия с болгарскими турками. До 1944 г. правительство Болгарии стремилось поддержать религиозную идентичность и культурное своеобразие турок, чтобы нивелировать среди них влияние светского национализма (кемализма). В 1950-е гг. осуществлялась поддержка турецкой этнической идентичности в рамках принципа права нации на самоопределение. Начиная с 1960-х гг. партийно-политическое руководство Болгарии стремилось реализовать принцип «единой болгарской нации» на этнических основах. В 1982-1985 гг. был предпринят ряд репрессивных мер по «болгаризации» турок, которые привели к массовому оттоку турецкого меньшинства из страны. Постепенное изменение ситуации началось в начале 1990-х гг. В 1990 г. появилась этническая турецкая партия «Движение за права и свободы» (ДПС), которая установила и поддерживает традиционно хорошие отношения с центральным правительством и представлена в парламенте. В то же время, если турецкая сторона в целом может найти общий язык с большинством, что было озвучено в электоральной программе ДПС еще в 2001 г., то ситуация с цыганским меньшинством более сложная и конфликтная. В Болгарии цыгане по-прежнему живут сегрегированно от основной массы населения, нередко за ограждениями, возведенными на муниципальные средства. После демонтажа социалистической системы цыгане были исключены из программы реституции коллективизированных земель. Цыгане также сталкиваются с притеснениями со стороны органов правопорядка. В 2011 г. по городам Болгарии прокатилась волна антицыганских выступлений. По мнению болгарских социологов, негативное отношение к цыганам способствует сплочению разрозненных цыганских групп и формированию в их среде агрессивного этнического национализма.;В 1998 г. Болгария присоединилась к Рамочной конвенции по делам меньшинств, хотя и не без осложнений (часть депутатов парламента выступила против и потребовала прояснить ее положения применительно к Конституции). В Конституции Болгарии есть общее положение: «не допускаются никакие ограничения в правах или привилегиях на основании национальности» (ст. 6, п. 2). Болгария участвовала в наднациональных программах «Рамочная программа по интеграции цыган» (1999 г.) и в программе «Decade of Roma Inclusion (2005-2015» (последняя программа осуществлялась при поддержке Всемирного банка и Института «Открытое общество»).;42.74, 25.43;;101;202, 203, 204;301
24;Бахрейн;;;;;;;;;;;;;
25;Багамские о-ва;;;;;;;;;;;;;
